neg_preference,cost,co2
-11.700000047683716,13.32,2.5000000000000004
-16.29999965429306,5.67,19.599999999999998
-130.10000076889992,26.6,54.4
-68.59999938309193,39.169999999999995,23.7
-1.800000011920929,2.88,2.6
-118.80000066757202,23.35,66.8
-107.60000029206276,20.270000000000003,58.699999999999996
-68.59999938309193,39.169999999999995,23.7
-72.20000088214874,35.199999999999996,26.8
-118.80000066757202,23.35,66.8
-71.10000091791153,31.530000000000005,24.700000000000003
-72.20000088214874,35.199999999999996,26.8
-130.10000076889992,26.6,54.4
-122.10000136494637,25.570000000000004,55.8
-81.70000112056732,15.82,30.199999999999996
-104.50000110268593,21.640000000000004,48.8
-78.40000033378601,24.54,29.9
-60.399999767541885,10.95,33.2
-116.70000138878822,23.42,50.800000000000004
-41.80000042915344,13.3,16.4
-112.80000057816505,22.48,47.3
-56.19999957084656,15.580000000000002,22.2
-32.7999991774559,14.399999999999999,9.899999999999999
-11.300000429153442,2.29,6.5
-110.39999940991402,20.91,51.7
-52.99999976158142,13.58,21.3
-97.29999950528145,18.840000000000003,43.7
-16.99999976158142,3.5,11.899999999999999
-38.19999980926514,12.48,13.2
-106.30000120401382,22.87,44.7
-83.80000001192093,16.39,43.5
-36.299999475479126,11.78,11.6
-82.90000104904175,15.040000000000001,36.2
-102.2999997138977,21.110000000000003,58.00000000000001
-72.80000066757202,24.440000000000005,29.499999999999996
-45.50000035762787,28.490000000000002,11.0
-103.50000086426735,21.53,50.400000000000006
-102.00000095367432,30.270000000000003,37.6
-122.10000136494637,25.570000000000004,55.8
-52.3999999165535,15.950000000000001,18.6
-92.70000174641609,22.19,35.199999999999996
-64.60000014305115,17.44,25.8
-3.5999999046325684,2.31,3.8
-93.50000157952309,18.16,46.199999999999996
-87.60000076889992,19.3,35.9
-35.49999964237213,7.660000000000001,29.1
-100.50000214576721,22.98,39.6
-64.89999949932098,10.6,42.8
-71.70000076293945,20.57,28.200000000000003
-25.599999845027924,7.33,16.900000000000002
-39.89999997615814,8.14,27.599999999999998
-44.700000286102295,8.71,20.3
-48.19999969005585,16.58,13.5
-15.70000022649765,8.170000000000002,5.000000000000001
-122.10000136494637,25.570000000000004,55.8
-94.10000005364418,18.85,43.0
-59.200000286102295,10.0,47.199999999999996
-22.799999572336674,9.82,11.0
-21.599999584257603,11.21,7.3
-130.10000076889992,26.6,54.4
-45.50000035762787,28.490000000000002,11.0
-7.799999952316284,3.0,3.8000000000000003
-50.3000011742115,9.620000000000001,44.5
-83.20000052452087,18.09,37.300000000000004
-102.00000095367432,30.270000000000003,37.6
-113.90000143647194,20.89,52.6
-83.5000005364418,16.779999999999998,39.0
-26.700000286102295,10.27,11.1
-75.7000002861023,17.029999999999998,29.6
-20.200000047683716,11.12,3.1
-76.80000093579292,14.510000000000002,37.900000000000006
-29.799999713897705,10.41,16.799999999999997
-65.30000141263008,10.820000000000002,33.400000000000006
-48.4000004529953,12.02,21.3
-14.399999618530273,4.27,11.3
-45.79999989271164,11.38,19.2
-30.69999921321869,11.56,16.3
-87.60000076889992,19.3,35.9
-63.200000286102295,18.61,23.2
-12.699999570846558,3.76,5.2
-82.09999993443489,22.980000000000004,33.8
-93.00000047683716,17.39,40.5
-91.19999995827675,19.790000000000003,34.8
-114.90000095963478,21.180000000000003,50.9
-17.600000083446503,10.91,6.300000000000001
-98.20000091195107,18.33,52.900000000000006
-6.0,3.5100000000000002,3.0
-91.19999995827675,19.790000000000003,34.8
-57.99999952316284,17.150000000000002,26.299999999999997
-71.10000091791153,31.530000000000005,24.700000000000003
-26.199999630451202,8.450000000000001,22.5
-2.799999952316284,3.2199999999999998,2.5
-49.69999980926514,20.25,14.9
-52.499999821186066,14.45,20.3
-71.3000009059906,12.450000000000001,26.4
-71.10000091791153,31.530000000000005,24.700000000000003
-18.600000023841858,6.160000000000001,7.0
-39.49999991804361,9.04,17.3
-20.200000047683716,11.12,3.1
-101.7000005543232,20.23,42.9
