generation,hypervolume
0,151470.92581415045
1,158136.56376005753
2,168020.73540524655
3,174674.87352909253
4,179493.5075918093
5,181078.60998363182
6,181859.92336888687
7,184324.3161913636
8,185023.9907761215
9,186292.22674061378
10,186685.9183437386
11,186945.76065054705
12,187104.27116501454
13,188152.76767867713
14,188294.8322663264
15,189132.47963097575
16,192561.08131786835
17,193126.4185063352
18,193315.34609340175
19,194053.18892851842
20,194173.2588405919
21,195446.11987739798
22,195543.06658688077
23,195613.72684539258
24,196451.73476647105
25,197857.92434351883
26,197843.27815002738
27,198587.1841328901
28,201232.27815696865
29,202019.6145500935
30,202572.4838756161
31,203201.4549116955
32,203506.72039085889
33,204605.07158817785
34,204688.2480121334
35,204902.15396209882
36,205313.842089867
37,205447.21260648867
38,205471.61453903595
39,205682.60951761476
40,206003.97998744564
41,205992.7980511268
42,206695.6448902891
43,207056.8793348783
44,207284.17988642715
45,208006.10139766353
46,208058.7446954355
47,208058.7446954355
48,208098.55636946083
49,208689.68697627782
50,208624.55076803127
51,208537.98944931824
52,209351.9787656593
53,209894.98306272822
54,210755.63012423247
55,210952.89240256697
56,211173.79971170344
57,210965.4708100242
58,210948.42961591142
59,210948.42961591142
60,210939.90718076038
61,210979.7773806282
62,211931.45653595036
63,211931.45653595036
64,211933.41513683746
65,212473.90295382103
66,212525.77593874699
67,212221.37392730897
68,212511.38598599666
69,213301.59360846825
70,212945.54680272547
71,214044.53528190783
72,213946.88075102534
73,214005.5445234666
74,214123.50054219214
75,214257.87654505007
76,214258.21754545654
77,214056.01339117403
78,214177.70502413262
79,214210.89092652808
80,214199.24752732436
81,214218.88321879265
82,214851.94615455432
83,214930.51106202143
84,213727.10585895632
85,213695.02703455937
86,213696.11953765908
87,213685.91984159665
88,214032.2414574961
89,214205.52746433133
90,214272.58473348312
91,214317.9752883316
92,214350.7202906745
93,213588.35578680577
94,213708.74866998766
95,213719.67166667318
96,213719.67166667318
97,213731.8320656254
98,213899.7679249659
99,214001.78825927046
100,213900.54906960015
101,213792.77276976316
102,213691.46845803034
103,213703.5077614323
104,213772.33957260524
105,214298.29619634783
106,214298.29619634783
107,214360.04312397324
108,214480.54770368116
109,214499.8776765135
110,215061.17959631994
111,215127.42162788942
112,216778.09433799156
113,216557.33514665108
114,216391.8744064535
115,216379.800204232
116,216249.12310851624
117,215718.46743425058
118,215731.07883556082
119,216731.75638253233
120,216790.8448674809
121,217076.27686255443
122,217265.4474744809
123,217283.6977163425
124,216818.56114317937
125,216980.69908378233
126,216980.15181132895
127,216728.90097701343
128,216327.70185085697
129,215871.72956910933
130,218149.3408731274
131,218150.97947410122
132,218132.74212040898
133,218232.14853864157
134,219154.1243461536
135,219600.6766858921
136,219575.32468780968
137,219738.3573035107
138,219827.51389171896
139,220286.6084313317
140,220286.6084313317
141,220470.20824391293
142,220546.96780080345
143,220853.98540573916
144,221429.0443418228
145,221633.0203633351
146,221597.6632101871
147,222477.40804692762
148,222366.36097928623
149,222859.64873771096
150,222623.61918899842
151,222623.81718887802
152,222427.67868684052
153,222936.21276270505
154,222897.15810258567
155,222933.96600946394
156,222852.0913399535
157,222852.0913399535
158,223273.91105828492
159,222802.9095155295
160,223213.3441407659
161,223861.21548472103
162,223306.2889602756
163,223971.91138127755
164,223964.27238310082
165,224418.62115217367
166,224380.4640592381
167,224341.5893077711
168,224360.3116994639
169,224959.11569450816
170,224959.11569450816
171,224926.28049669872
172,225167.66635792638
173,224522.06147499738
174,224689.41746864156
175,224756.9175703954
176,225238.28738307222
177,224989.79456809792
178,224383.11109657574
179,224544.77707875823
180,226288.47818069556
181,226189.73538694566
182,226211.43524915847
183,226337.98057466047
184,225893.2099709144
185,225961.95466504642
186,225939.62826563133
187,225964.910199577
188,225520.6254051893
189,225466.5838480452
190,225466.5838480452
191,225987.42228585356
192,226901.5465064148
193,226697.9291432119
194,226642.0454933508
195,226787.65348988838
196,225972.9468036808
197,226041.94260744084
198,225252.02112855055
199,225313.35939994364
200,224936.33682524698
