neg_preference,cost,co2
-50.89999955892563,22.419999999999998,9.6
-96.3999989926815,41.25,54.800000000000004
-59.00000011920929,11.069999999999999,26.5
-6.599999904632568,2.64,11.1
-42.099999859929085,8.690000000000001,18.400000000000002
-11.100000143051147,4.890000000000001,25.799999999999997
-51.2000008225441,8.11,36.7
-5.200000047683716,12.09,2.7
-30.200000166893005,12.52,10.3
-80.80000001192093,19.1,25.799999999999994
-11.600000143051147,5.15,27.0
-56.300000727176666,8.0,41.0
-56.300000727176666,8.0,41.0
-59.19999861717224,13.110000000000001,24.0
-34.90000066906214,18.41,6.199999999999999
-27.499999344348907,6.4,18.099999999999998
-44.79999966919422,11.200000000000001,15.4
-74.79999953508377,16.060000000000002,18.1
-39.69999957084656,8.73,16.799999999999997
-59.700000286102295,8.690000000000001,29.3
-95.19999951124191,22.75,28.999999999999996
-75.00000047683716,11.969999999999999,33.6
-23.700000286102295,14.99,2.8000000000000003
-78.2000002861023,12.29,29.400000000000002
-63.60000059008598,11.879999999999999,25.1
-36.29999943077564,8.34,17.8
-18.499999940395355,5.629999999999999,23.9
-27.999999940395355,6.5,24.0
-37.700000286102295,5.56,35.4
-26.099999323487282,5.86,17.099999999999998
-51.000000298023224,10.23,24.1
-47.89999909698963,10.16,16.3
-82.10000057518482,14.55,37.0
-53.699999034404755,13.72,14.700000000000001
-45.69999933242798,13.690000000000001,14.8
-37.39999957382679,7.370000000000001,21.0
-94.29999953508377,18.0,32.8
-45.999999955296516,8.57,22.1
-10.300000190734863,2.85,3.2
-11.200000405311584,2.67,12.0
-45.19999980926514,9.57,16.400000000000002
-41.699999153614044,16.09,9.3
-19.499999523162842,12.76,5.300000000000001
-30.200000166893005,12.52,10.3
-70.19999986886978,16.09,26.799999999999997
-45.20000010728836,20.9,6.6
-15.000000298023224,6.09,16.9
-36.60000014305115,6.390000000000001,28.6
-11.600000143051147,5.15,27.0
-70.90000033378601,11.270000000000001,26.900000000000002
-66.40000000596046,8.93,28.800000000000004
-50.89999955892563,22.419999999999998,9.6
-96.3999989926815,41.25,54.800000000000004
-38.30000001192093,20.14,5.5
-60.199999153614044,15.549999999999999,18.4
-11.099999904632568,13.18,2.3
-32.29999986290932,6.97,15.9
-43.700000166893005,11.4,10.9
-6.599999904632568,2.64,11.1
-74.60000038146973,9.920000000000002,28.000000000000004
-30.399999380111694,7.71,10.9
-12.699999868869781,9.33,7.2
-58.49999886751175,19.849999999999998,11.100000000000001
-23.70000046491623,11.339999999999998,8.1
-10.800000071525574,5.32,2.7
-25.899999737739563,13.92,7.8999999999999995
-20.699999630451202,7.26,14.8
-35.3999999165535,14.28,8.3
-68.10000029206276,9.380000000000003,26.8
-32.99999976158142,7.159999999999999,24.7
-48.49999934434891,13.790000000000001,9.4
-42.399999529123306,6.32,29.8
-46.49999952316284,13.830000000000002,16.6
-77.09999960660934,21.35,23.599999999999994
-43.700000047683716,8.11,33.0
-19.600000381469727,3.77,3.9000000000000004
-34.00000059604645,10.06,16.0
-13.300000190734863,3.75,5.5
-62.499999046325684,17.45,16.599999999999998
-72.89999979734421,21.9,14.299999999999997
-58.19999951124191,18.06,12.899999999999999
-49.90000043064356,19.53,10.0
-76.59999996423721,18.12,21.399999999999995
-19.800000190734863,3.85,9.4
-54.499999195337296,11.090000000000002,17.6
-51.2000008225441,8.11,36.7
-54.89999860525131,17.23,13.8
-5.200000047683716,12.09,2.7
-43.20000076293945,8.75,19.1
-21.300000429153442,10.83,9.3
-83.3999999165535,16.750000000000004,26.099999999999998
-59.39999896287918,19.709999999999997,15.5
-79.09999877214432,23.25,24.099999999999994
-28.900000154972076,5.49,33.7
-13.399999618530273,6.43,13.899999999999999
-63.59999907016754,22.429999999999996,13.599999999999998
-68.10000163316727,13.510000000000002,20.799999999999997
-47.39999920129776,16.83,9.2
-56.300000727176666,8.0,41.0
-25.000000059604645,5.609999999999999,30.0
-75.70000052452087,11.919999999999998,42.00000000000001
-21.299999207258224,5.53,18.4
-76.49999982118607,15.99,25.0
-80.80000001192093,19.1,25.799999999999994
-52.9999994635582,14.36,11.600000000000001
-25.00000023841858,16.79,4.9
-7.400000095367432,5.24,17.299999999999997
-16.00000011920929,13.08,4.699999999999999
-18.400000035762787,9.53,9.399999999999999
-9.300000011920929,7.050000000000001,13.5
-38.60000020265579,7.64,23.5
-41.999999940395355,7.580000000000001,23.7
-59.00000011920929,11.069999999999999,26.5
-4.300000049173832,5.1,3.8000000000000003
