generation,hypervolume
0,249774.25302531873
1,281381.3610509781
2,290610.0078527194
3,298173.78800318355
4,301651.02076271764
5,303222.5305364116
6,305587.78843573225
7,308755.0294950111
8,310937.12709409953
9,316373.2829215736
10,318512.8768315135
11,320627.7838424269
12,321504.8590147542
13,324701.33405229356
14,324299.313539556
15,326351.2021902964
16,327424.5387700294
17,327614.4093403878
18,330073.0972338522
19,330574.7698308655
20,332531.03717505175
21,334192.42566749576
22,335178.58666933264
23,335470.34943866427
24,336316.10536789347
25,339669.21062590036
26,339654.1476310384
27,339693.1179784215
28,340035.9279444794
29,342749.5100336664
30,344141.0931380343
31,359700.6659156835
32,360519.14492573094
33,363659.4675831841
34,363466.0959558947
35,364752.0580548735
36,368046.332561325
37,368159.0575370161
38,369324.6465777663
39,369332.8890784511
40,369151.7603930658
41,368984.6189977366
42,369653.28877879237
43,370296.83058456774
44,372642.429174818
45,373198.15824146464
46,374674.39370471594
47,382039.425796255
48,382677.896913949
49,384623.85547073884
50,384773.6245398451
51,383303.4553188136
52,383722.07829209405
53,384242.9404953489
54,384211.317416362
55,389341.90402769984
56,390361.808205075
57,389893.3753664511
58,389410.16648517497
59,389424.68146084866
60,391382.6468520369
61,393256.6730448582
62,394599.21940000536
63,395325.05458969995
64,395136.1238282009
65,395206.6799231996
66,397307.3397151914
67,397784.0086341603
68,397069.99728409573
69,395902.448845574
70,396077.2760401405
71,396149.7261367666
72,396390.77971676685
73,396618.22475395584
74,396660.5696710209
75,396960.5078139012
76,397189.20294271165
77,397173.8618349274
78,398029.9287988386
79,398260.1473344094
80,399316.6024786531
81,398749.4694979964
82,399930.06216908735
83,400398.4244820207
84,399773.952203068
85,400799.3103154124
86,400399.5773138779
87,400439.8820105476
88,400595.20002489846
89,400400.797224705
90,400011.7684237255
91,402562.73665655294
92,407033.4185365102
93,407090.55210136034
94,407343.84555600706
95,409384.5664961445
96,409300.2634353861
97,409261.1658362619
98,409330.5171354907
99,409711.52048473083
100,412992.5419450294
101,413107.39916735596
102,412916.2583581073
103,413242.00957195915
104,413354.2365576347
105,413753.25977071514
106,413735.97936420573
107,414530.8519556479
108,414681.51087110466
109,414538.4922188574
110,414491.1584147811
111,414543.71395403036
112,414068.6872648479
113,414087.63746677246
114,414245.5091812167
115,412875.8147168151
116,412970.6836573237
117,413911.5401038507
118,413924.5458476576
119,413874.28621378157
120,413317.2319707102
121,415433.59188288776
122,415590.364041029
123,415649.92270736647
124,418167.13967599295
125,418451.69798336277
126,417564.0233463004
127,418345.3481368635
128,418441.44369628123
129,417459.1011695805
130,415386.9608491105
131,415362.56433953845
132,415748.4437512317
133,416646.9618886886
134,417309.47722813877
135,417294.0807161349
136,417755.088123401
137,418182.28228956583
138,417976.4341585253
139,419774.8390658524
140,419242.5239571245
141,419111.7972037509
142,416488.3447124635
143,417161.48592822277
144,416929.1783085065
145,415822.56618025096
146,416572.87131913414
147,416436.83327138406
148,415842.054850182
149,416386.1684062906
150,414977.856319126
151,414492.11203724635
152,414766.7264919069
153,414627.16459820047
154,414673.2569548148
155,414357.8923916446
156,414622.6468015906
157,414528.19479620573
158,414879.0100778905
159,414963.32942663255
160,415384.6409592623
161,415317.0649767021
162,415652.12446430227
163,415517.6864916041
164,418328.93582801777
165,419455.4724091275
166,418669.13057270565
167,419119.0688143723
168,419023.41047108703
169,419297.9030131326
170,418875.35120538675
171,419160.10046170943
172,420207.3844792242
173,421711.7648081329
174,421924.88210095454
175,423223.1184909599
176,422834.934940174
177,422087.8747842906
178,422147.11515643384
179,422219.34013554436
180,422165.4070927347
181,422295.9416045925
182,422131.9748695621
183,422394.1183755151
184,422558.68395910517
185,422021.2278002275
186,422077.4217620543
187,421738.06757566356
188,421730.354680278
189,421859.90087911277
190,421921.9988375023
191,423351.7460113161
192,421095.0289367138
193,420563.87888618815
194,421344.8447864307
195,421624.93595596985
196,420810.6042004191
197,420667.2645434807
198,421009.7838418307
199,420574.83114745404
200,421298.35397574044
