generation,hypervolume
0,352334.36337814934
1,380514.54493850726
2,413830.3266946769
3,439127.54115549556
4,454608.1395634295
5,473011.3158372635
6,481058.5205639717
7,485656.9007908413
8,486730.2945309641
9,490703.03587135545
10,491941.9473448379
11,493787.9325651949
12,496134.11032138794
13,498003.0435148383
14,501297.3600790958
15,502172.6261920249
16,504993.5107293092
17,514720.34307185083
18,517355.2258738653
19,518630.8046843803
20,519356.8174303079
21,523774.50120070286
22,524808.3121324534
23,526154.9539829136
24,526276.0629968104
25,526207.6422404742
26,526981.8832830724
27,527386.0985151961
28,527919.7469664027
29,532637.6530418616
30,539580.6640393692
31,539350.9613259982
32,539511.2798280709
33,541256.8085411517
34,541177.8618331377
35,541240.1342712577
36,542149.6856733132
37,543131.5893519851
38,543311.7385563903
39,545102.2597751301
40,545351.2582932552
41,546754.3186949269
42,546021.5873365796
43,547842.9721620635
44,550829.5565375348
45,550385.7963080159
46,550388.8807087037
47,550457.1222932593
48,549487.0495222795
49,549546.6698679491
50,548948.6430078867
51,549086.5831585913
52,548010.958361266
53,548375.9774879363
54,548107.0871322337
55,548489.0343289546
56,550548.9870624937
57,550861.033080866
58,552656.0443842802
59,552763.0050906437
60,552580.2170882332
61,553062.690327306
62,556226.1458002438
63,556426.9511462818
64,554611.5323812752
65,556005.0594231603
66,555537.9894802792
67,556391.2935374493
68,558202.5463066977
69,559840.9576521835
70,559857.0160540061
71,569389.5540128236
72,570160.3527296104
73,571343.0825855546
74,571360.5905686395
75,573159.0182604189
76,573199.9407646218
77,573300.2692599962
78,572141.1737182371
79,572464.4323497536
80,572349.3663617237
81,572831.2411874207
82,573700.6387271517
83,573367.9835279009
84,574237.3773925898
85,574364.3161781537
86,575914.4931733188
87,574240.0460755747
88,576908.259386474
89,576163.7215350638
90,576260.3684354974
91,575909.4355108676
92,575909.4355108676
93,577091.4996779393
94,577189.551545155
95,577831.6601594742
96,576773.7001794651
97,576607.6468765535
98,575852.7834092556
99,577642.612761936
100,577530.4894851416
101,578596.8729388604
102,578779.1695514398
103,578374.4740995744
104,577662.9709206517
105,578290.796544531
106,578128.7508758665
107,578373.5149107282
108,578072.6038413278
109,577704.851241584
110,577717.7543771302
111,576643.3304391783
112,575886.3642219031
113,575995.3654255976
114,576785.8692750863
115,581036.5221458497
116,581918.0777035175
117,583196.3416823582
118,583150.7645210287
119,583151.3797305869
120,583669.7488584127
121,586039.7413904392
122,583596.6396083765
123,583491.9438210402
124,583306.4528277823
125,583478.5257297873
126,583482.2217291999
127,584906.8777729247
128,584832.5351781145
129,582793.3526223712
130,583187.7314537921
131,583188.2178542552
132,587205.2716995508
133,587503.805625377
134,588109.3742337807
135,588458.8804239251
136,588003.4473119243
137,588963.0364639417
138,588948.9734537201
139,589170.3565327148
140,589303.1235628056
141,589327.37668092
142,589466.3414186279
143,589430.1714727259
144,589719.2046209003
145,589719.2046209003
146,589719.2046209003
147,591272.2948882494
148,590958.7520101101
149,590875.6593099139
150,592816.1957589164
151,592925.9214807905
152,593490.5663648332
153,593909.5832865809
154,606460.5532482095
155,605787.6482285805
156,606992.1437120002
157,608363.0463868892
158,608363.0463868892
159,610912.0188011004
160,610874.146705081
161,610882.841904552
162,610888.4313027634
163,610890.3349981827
164,610477.1911204683
165,609109.6053356194
166,610270.2346182872
167,610273.6426170685
168,611341.576136528
169,610585.6931480101
170,611117.4237879303
171,615458.0552077487
172,615466.8769925047
173,615296.654870307
174,615490.5409760728
175,617793.9877523137
176,617797.6318567598
177,617786.0065591801
178,616856.3035539268
179,616891.8711225535
180,616780.4648909206
181,616235.9833773896
182,619753.2523321903
183,619805.4605214497
184,619749.1682031662
185,617251.2746806026
186,617254.4733788345
187,617289.3543710002
188,617118.314764816
189,617165.1685657362
190,617807.4529665264
191,617479.6911623309
192,620634.3140274147
193,620695.9369364121
194,618671.8764173863
195,619806.3243704935
196,619822.7043743988
197,618143.4134496045
198,618722.1317832937
199,619553.2690161507
200,619959.5055531615
